dates,result
2000-01-06 10:55:00,0.378
2000-03-08 15:20:00,0.262
2000-04-10 15:15:00,0.313
2000-05-15 15:35:00,0.206
2000-06-14 15:25:00,0.637
2000-07-18 15:00:00,0.03
2000-08-23 14:45:00,0.237
2000-10-04 14:45:00,0.2
2000-10-26 15:30:00,0.068
2000-11-14 14:00:00,0.251
2000-12-12 15:20:00,0.485
2001-01-16 15:20:00,0.79
2001-02-28 14:00:00,0.679
2001-03-07 14:40:00,0.931
2001-04-11 14:35:00,0.599
2001-05-14 14:30:00,0.286
2001-06-18 14:35:00,1.48
2001-07-17 13:30:00,0.321
2001-08-22 11:00:00,0.372
2001-09-12 11:30:00,2.08
2001-10-10 15:35:00,1.1
2001-10-29 15:20:00,0.473
2001-11-28 15:20:00,0.738
2002-01-18 15:00:00,0.174
2002-02-11 14:30:00,0.236
2002-03-28 15:00:00,0.362
2002-04-29 13:45:00,1.12
2002-05-21 14:45:00,0.861
2002-06-18 14:35:00,5.63
2002-08-21 15:50:00,0.242
2002-09-23 16:10:00,0.055
2002-10-16 14:35:00,1.14
2002-11-08 15:55:00,0.214
2002-11-13 13:55:00,2.14
2002-12-09 15:35:00,0.272
2003-01-22 15:15:00,0.235
2003-02-20 14:30:00,0.279
2003-03-31 15:40:00,0.191
2003-05-14 15:35:00,0.378
2003-05-22 15:15:00,1.08
2003-06-10 15:15:00,1.35
2003-07-07 14:50:00,1.11
2003-08-27 14:00:00,0.106
2003-09-24 12:30:00,0.154
2003-10-15 15:45:00,0.057
2003-11-04 15:05:00,1.15
2003-11-28 14:25:00,0.342
2004-01-12 15:10:00,4.13
2004-03-17 14:20:00,0.554
2004-04-02 13:05:00,0.245
2004-04-20 15:30:00,0.216
2004-05-10 14:30:00,0.546
2004-06-29 15:10:00,0.679
2004-07-14 13:00:00,0.031
2004-08-25 14:30:00,0.299
2004-10-01 14:20:00,0.03
2004-10-13 14:30:00,0.129
2004-12-14 14:00:00,0.033
2004-12-17 15:25:00,3.05
2005-01-21 15:30:00,0.354
2005-03-07 13:50:00,0.218
2005-03-18 14:05:00,0.304
2005-04-06 14:00:00,0.258
2005-05-09 14:50:00,0.06
2005-06-22 14:35:00,0.039
2005-07-13 14:50:00,1.12
2005-08-26 13:30:00,0.242
2005-09-27 13:20:00,0.553
2005-10-26 13:30:00,0.268
2005-12-07 12:20:00,0.328
2005-12-22 14:40:00,0.37
2006-02-10 14:05:00,0.102
2006-03-09 12:30:00,0.296
2006-03-24 14:20:00,10.6
2006-04-24 13:20:00,0.143
2006-05-16 14:25:00,0.138
2006-06-30 13:55:00,0.316
2006-08-21 14:50:00,0.062
2006-09-01 15:00:00,0.235
2006-09-13 13:50:00,6.71
2006-10-09 11:25:00,0.304
2006-11-15 13:50:00,0.294
2006-11-27 14:10:00,0.177
2007-01-16 00:01:00,0.166
2007-02-07 13:50:00,0.225
2007-04-04 14:05:00,0.06
2007-05-02 13:30:00,0.108
2007-06-05 12:50:00,0.307
2007-07-11 15:00:00,0.341
2007-07-31 15:00:00,0.124
2007-09-21 14:30:00,0.243
2007-10-03 13:45:00,0.181
2007-10-12 14:15:00,0.183
2007-11-28 14:30:00,0.032
2007-12-09 16:50:00,0.169
2008-02-06 14:40:00,0.204
2008-02-28 15:00:00,0.19
2008-03-17 13:50:00,0.313
2008-04-24 14:20:00,0.385
2008-06-04 13:15:00,0.307
2008-08-14 13:20:00,0.112
2008-09-09 13:20:00,0.28
2008-09-24 13:50:00,0.332
2008-10-21 15:00:00,0.394
2008-11-04 13:55:00,0.277
2008-12-02 15:15:00,0.066
2008-12-17 13:15:00,0.217
2009-01-08 13:35:00,0.333
2009-02-18 14:35:00,0.281
2009-03-05 13:20:00,0.221
2009-03-19 14:30:00,0.134
2009-05-11 15:05:00,0.051
2009-06-03 14:00:00,0.156
2009-07-14 11:40:00,0.399
2009-08-18 13:25:00,0.03
2009-09-03 13:10:00,0.124
2009-10-14 14:00:00,0.284
2009-11-06 13:20:00,0.284
2009-12-10 14:00:00,0.231
2010-01-18 13:10:00,0.238
2010-02-10 15:15:00,0.244
2010-03-11 14:00:00,0.195
2010-04-16 14:00:00,0.181
