dates,result
2000-02-02 14:55:00,13.6
2000-02-02 13:15:00,7.4
2000-03-08 14:30:00,1.5
2000-04-10 14:40:00,1.6
2000-05-15 14:40:00,1.6
2000-06-14 14:30:00,3.4
2000-07-18 14:15:00,1.0
2000-08-23 13:20:00,1.3
2000-10-04 13:40:00,1.8
2000-10-26 14:45:00,2.0
2000-11-14 13:05:00,1.0
2000-12-12 14:15:00,1.8
2001-01-16 14:20:00,1.0
2001-02-28 13:05:00,2.3
2001-03-07 12:55:00,5.6
2001-04-11 13:30:00,2.6
2001-05-14 13:50:00,3.0
2001-06-18 13:40:00,4.2
2001-07-17 12:50:00,1.8
2001-08-22 10:15:00,1.5
2001-09-12 10:35:00,1.4
2001-10-10 15:00:00,3.0
2001-10-29 14:45:00,2.1
2001-11-28 14:35:00,1.9
2002-01-18 13:35:00,3.1
2002-02-11 13:15:00,2.0
2002-03-28 14:00:00,3.6
2002-04-29 13:15:00,5.1
2002-05-21 14:15:00,10.2
2002-06-18 14:00:00,3.8
2002-07-17 14:50:00,2.2
2002-08-21 15:10:00,3.9
2002-09-23 15:25:00,2.0
2002-10-16 13:50:00,5.0
2002-11-08 15:15:00,3.4
2002-12-09 15:05:00,3.0
2003-01-22 14:30:00,1.9
2003-02-20 14:00:00,2.1
2003-03-31 14:50:00,5.4
2003-05-14 14:45:00,4.6
2003-05-22 14:15:00,3.9
2003-06-10 14:35:00,2.7
2003-07-07 13:55:00,1.8
2003-08-27 13:05:00,2.5
2003-09-24 11:30:00,3.0
2003-10-15 15:00:00,2.0
2003-11-04 14:30:00,2.3
2003-11-28 13:45:00,2.1
2004-01-12 14:35:00,6.5
2004-02-26 14:00:00,3.1
2004-04-02 12:25:00,3.4
2004-04-20 14:45:00,6.3
2004-05-10 13:25:00,3.0
2004-06-29 14:30:00,2.0
2004-07-14 14:45:00,2.3
2004-08-25 13:50:00,2.3
2004-10-01 13:40:00,2.5
2004-10-13 13:40:00,2.7
2004-11-08 12:35:00,1.5
2004-12-17 14:30:00,14.3
2005-01-21 14:25:00,1.72
2005-03-07 13:00:00,3.13
2005-03-18 13:20:00,3.17
2005-04-06 12:20:00,2.44
2005-05-09 13:20:00,3.09
2005-06-22 13:55:00,2.13
2005-07-13 13:30:00,2.11
2005-08-26 12:05:00,1.25
2005-09-19 13:20:00,1.48
2005-10-26 12:05:00,1.86
2005-12-07 13:50:00,1.43
2005-12-22 13:20:00,2.09
2006-01-16 13:10:00,1.81
2006-02-10 12:55:00,1.82
2006-02-14 09:15:00,1.83
2006-02-15 08:55:00,26.6
2006-02-15 10:00:00,29.6
2006-02-15 06:35:00,10.6
2006-02-15 07:30:00,10.2
2006-03-24 13:00:00,4.2
2006-04-24 12:20:00,3.6
2006-05-16 13:25:00,1.8
2006-06-30 12:45:00,1.4
2006-08-21 13:50:00,1.4
2006-09-01 14:15:00,1.6
2006-09-13 12:40:00,4.8
2006-10-09 10:50:00,1.5
2006-11-15 12:50:00,1.9
