dates,result
2003-05-14 13:55:00,12.9
2003-06-10 14:00:00,11.2
2003-07-07 12:50:00,2.5
2003-08-27 12:15:00,11.4
2003-09-11 16:55:00,10.5
2003-10-15 14:00:00,2.3
2003-11-04 13:35:00,2.8
2003-11-28 12:45:00,1.6
2004-01-12 13:35:00,3.3
2004-02-26 13:05:00,9.1
2004-04-02 11:50:00,24.1
2004-04-20 14:20:00,15.8
2004-05-10 12:20:00,8.7
2004-06-29 13:50:00,1.0
2004-07-14 15:30:00,13.4
2004-08-25 13:20:00,15.4
2004-10-01 12:45:00,12.4
2004-10-13 12:35:00,3.1
2004-11-08 11:45:00,1.0
2004-12-17 13:50:00,20.8
2005-01-21 13:30:00,4.4
2005-03-07 12:05:00,30.0
2005-03-18 12:15:00,45.9
2005-04-06 11:55:00,4.6
2005-05-09 12:40:00,2.9
2005-06-22 11:55:00,6.3
2005-07-13 12:10:00,7.72
2005-08-26 10:50:00,2.6
2005-09-19 11:50:00,7.9
2005-10-26 10:30:00,13.7
2005-12-07 14:55:00,0.82
2005-12-22 11:40:00,0.7
2006-01-16 11:30:00,1.1
2006-02-10 11:25:00,2.5
2006-03-24 11:25:00,32.0
2006-04-24 10:50:00,21.0
2006-05-16 11:40:00,1.3
2006-06-30 10:55:00,5.7
2006-08-21 12:30:00,1.7
2006-09-01 12:20:00,1.6
2006-09-13 11:15:00,12.0
2006-10-09 13:35:00,2.7
2006-11-15 11:45:00,1.7
2006-11-27 11:50:00,9.5
2007-01-16 12:05:00,0.7
2007-02-07 11:50:00,0.53
2007-04-04 11:35:00,35.3
2007-05-02 11:20:00,2.2
2007-06-05 11:10:00,2.7
2007-07-11 12:10:00,1.7
2007-07-31 12:35:00,10.6
2007-09-21 12:05:00,0.5
2007-10-03 12:00:00,2.6
2007-10-12 12:10:00,1.4
2007-11-28 12:20:00,0.79
2007-12-09 15:15:00,2.3
2008-02-06 11:15:00,3.4
2008-02-28 13:00:00,7.4
2008-03-17 12:00:00,32.3
2008-04-24 11:20:00,9.5
2008-06-04 11:20:00,3.8
2008-08-14 11:00:00,6.0
2008-09-09 10:55:00,10.3
2008-09-24 11:50:00,17.4
2008-10-21 12:15:00,4.5
2008-11-04 11:20:00,1.6
2008-12-02 12:30:00,2.6
2008-12-17 10:55:00,1.1
2009-01-08 11:00:00,3.8
2009-02-18 11:50:00,9.8
2009-03-05 10:30:00,15.0
2009-03-19 11:30:00,26.3
2009-05-11 12:50:00,34.6
2009-06-03 11:20:00,2.6
2009-07-14 10:15:00,1.3
2009-08-18 11:05:00,4.0
2009-09-03 10:50:00,14.3
2009-10-14 10:40:00,10.3
2009-11-06 10:50:00,2.0
2009-12-10 11:40:00,2.2
2010-01-18 10:55:00,2.2
2010-02-10 12:35:00,1.9
2010-03-11 11:35:00,13.6
2010-04-16 11:05:00,50.4
2010-06-08 11:40:00,1.8
2010-07-02 13:10:00,1.3
2010-08-13 12:15:00,3.9
2010-09-03 12:20:00,16.2
2010-09-30 12:10:00,8.0
2010-10-15 11:25:00,1.4
2010-11-16 11:55:00,0.76
2010-12-07 12:40:00,8.7
2011-01-14 13:15:00,8.7
2011-02-10 10:45:00,4.0
2011-03-14 12:10:00,13.2
2011-04-06 11:00:00,11.3
2011-05-16 11:15:00,1.8
2011-06-02 11:15:00,7.3
2011-07-12 11:50:00,1.5
2011-08-08 10:45:00,4.1
2011-09-02 12:10:00,10.2
2011-10-07 10:40:00,3.5
2011-12-02 11:15:00,1.2
2011-12-09 11:00:00,0.52
2012-01-05 11:45:00,1.4
2012-02-02 10:45:00,6.0
2012-02-28 11:00:00,36.6
2012-04-10 11:00:00,11.8
2012-05-09 14:41:00,14.2
2012-06-12 11:40:00,7.1
2012-07-04 09:08:00,5.3
2012-08-07 10:42:00,2.9
