dates,result
2003-01-22 15:15:00,6.84
2003-02-20 14:30:00,7.69
2003-03-31 15:40:00,8.43
2003-05-14 15:35:00,7.98
2003-05-22 15:15:00,7.61
2003-06-10 15:15:00,8.53
2003-07-07 14:50:00,8.79
2003-08-27 14:00:00,1.57
2003-09-24 12:30:00,1.76
2003-10-15 15:45:00,1.44
2003-11-04 15:05:00,9.15
2003-11-28 14:25:00,8.19
2004-01-12 15:10:00,6.83
2004-03-17 14:20:00,8.52
2004-04-02 13:05:00,8.86
2004-04-20 15:30:00,9.18
2004-05-10 14:30:00,10.4
2004-06-29 15:10:00,7.33
2004-07-14 13:00:00,8.31
2004-08-25 14:30:00,7.45
2004-10-01 14:20:00,9.62
2004-10-13 14:30:00,8.86
2004-12-14 14:00:00,10.1
2004-12-17 15:25:00,7.64
2005-01-21 15:30:00,13.3
2005-03-07 13:50:00,12.5
2005-03-18 14:05:00,12.1
2005-04-06 14:00:00,8.07
2005-05-09 14:50:00,8.7
2005-06-22 14:35:00,10.0
2005-07-13 14:50:00,12.2
2005-08-26 13:30:00,8.49
2005-09-27 13:20:00,14.4
2005-10-26 13:30:00,9.31
2005-12-07 12:20:00,15.8
2005-12-22 14:40:00,17.2
2006-02-10 14:05:00,12.4
2006-03-09 12:30:00,10.3
2006-03-24 14:20:00,5.34
2006-04-24 13:20:00,9.61
2006-05-16 14:25:00,10.2
2006-06-30 13:55:00,11.4
2006-08-21 14:50:00,9.98
2006-09-01 15:00:00,15.1
2006-09-13 13:50:00,1.46
2006-10-09 11:25:00,9.93
2006-11-15 13:50:00,13.1
2006-11-27 14:10:00,9.4
2007-01-16 00:01:00,7.75
2007-02-07 13:50:00,11.7
2007-04-04 14:05:00,8.91
2007-05-02 13:30:00,8.53
2007-06-05 12:50:00,11.4
2007-07-11 15:00:00,9.06
2007-07-31 15:00:00,2.95
2007-09-21 14:30:00,16.9
2007-10-03 13:45:00,10.5
2007-10-12 14:15:00,12.0
2007-11-28 14:30:00,7.89
2007-12-09 16:50:00,9.52
2008-02-06 14:40:00,7.64
2008-02-28 15:00:00,12.0
2008-03-17 13:50:00,8.71
2008-04-24 14:20:00,10.8
2008-06-04 13:15:00,6.84
2008-08-14 13:20:00,8.1
2008-09-09 13:20:00,8.6
2008-09-24 13:50:00,14.2
2008-10-21 15:00:00,8.93
2008-11-04 13:55:00,9.9
2008-12-02 15:15:00,8.0
2008-12-17 13:15:00,11.0
2009-01-08 13:35:00,15.7
2009-02-18 14:35:00,9.92
2009-03-05 13:20:00,9.19
2009-03-19 14:30:00,11.8
2009-05-11 15:05:00,8.74
2009-06-03 14:00:00,9.61
2009-07-14 11:40:00,10.7
2009-08-18 13:25:00,8.48
2009-09-03 13:10:00,9.21
2009-10-14 14:00:00,11.7
2009-11-06 13:20:00,12.9
2009-12-10 14:00:00,11.6
2010-01-18 13:10:00,9.77
2010-02-10 15:15:00,11.1
2010-03-11 14:00:00,11.2
2010-04-16 14:00:00,8.49
