dates,result
2000-01-06 13:05:00,78.0
2000-03-08 13:30:00,69.0
2000-04-10 14:10:00,34.0
2000-05-15 13:40:00,25.0
2000-06-14 12:55:00,29.0
2000-07-18 13:45:00,24.0
2000-08-23 12:30:00,43.6
2000-10-04 13:05:00,49.5
2000-10-26 13:45:00,42.8
2000-12-12 13:35:00,67.7
2001-01-16 13:20:00,70.0
2001-02-28 12:35:00,64.5
2001-03-07 12:30:00,60.2
2001-04-11 12:40:00,66.0
2001-05-14 13:05:00,28.0
2001-06-18 13:00:00,35.4
2001-07-17 12:00:00,34.1
2001-08-22 11:40:00,31.0
2001-09-12 12:05:00,42.0
2001-10-10 13:35:00,22.8
2001-10-29 14:00:00,51.0
2001-11-28 13:55:00,39.5
2002-01-18 12:55:00,48.5
2002-02-11 12:35:00,68.7
2002-03-28 13:00:00,72.0
2002-04-29 12:35:00,47.0
2002-05-21 13:35:00,4.2
2002-06-18 13:00:00,13.0
2002-07-17 14:15:00,43.0
2002-08-21 14:15:00,36.0
2002-09-23 14:45:00,35.0
2002-10-16 13:15:00,53.0
2002-11-08 14:10:00,50.0
2002-12-09 14:20:00,48.0
2003-01-22 13:30:00,87.0
2003-02-20 13:15:00,68.0
2003-03-31 13:50:00,30.0
2003-04-16 13:45:00,32.0
2003-05-14 13:55:00,30.0
2003-06-10 14:00:00,25.0
2003-07-07 12:50:00,25.0
2003-08-27 12:15:00,32.0
2003-09-11 16:55:00,33.0
2003-10-15 14:00:00,34.0
2003-11-04 13:35:00,29.0
2003-11-28 12:45:00,46.0
2004-01-12 13:35:00,71.0
2004-02-26 13:05:00,43.0
2004-04-02 11:50:00,37.0
2004-04-20 14:20:00,57.0
2004-05-10 12:20:00,68.0
2004-06-29 13:50:00,52.0
2004-07-14 15:30:00,39.0
2004-08-25 13:20:00,55.0
2004-10-01 12:45:00,43.0
2004-10-13 12:35:00,40.0
2004-11-08 11:45:00,40.0
2004-12-17 13:50:00,47.0
2005-01-21 13:30:00,56.0
2005-03-07 12:05:00,69.0
2005-03-18 12:15:00,70.0
2005-04-06 11:55:00,45.0
2005-05-09 12:40:00,37.0
2005-06-22 11:55:00,29.0
2005-07-13 12:10:00,26.0
2005-08-26 10:50:00,41.0
2005-09-19 11:50:00,29.0
2005-10-26 10:30:00,50.0
2005-12-07 14:55:00,48.0
2005-12-22 11:40:00,40.0
2006-01-16 11:30:00,37.0
2006-02-10 11:25:00,54.0
2006-02-15 08:25:00,25.0
2006-02-15 09:45:00,45.0
2006-02-15 06:15:00,50.0
2006-02-15 07:15:00,50.0
2006-03-24 11:25:00,57.0
2006-04-24 10:50:00,31.0
2006-05-16 11:40:00,27.0
2006-06-30 10:55:00,43.0
2006-07-13 07:10:00,52.5
2006-07-13 08:40:00,44.5
2006-07-13 10:00:00,28.5
2006-07-13 12:20:00,32.5
2006-07-13 14:00:00,26.6
2006-07-13 15:30:00,28.8
2006-07-13 16:41:00,23.3
2006-07-13 17:55:00,22.0
2006-07-13 19:07:00,18.9
2006-08-21 12:30:00,30.0
2006-09-01 12:20:00,32.0
2006-09-13 11:15:00,26.0
2006-10-09 13:35:00,30.0
2006-11-15 11:45:00,33.0
2006-11-27 11:50:00,76.0
2007-01-16 12:05:00,47.0
2007-02-07 11:50:00,45.0
2007-04-04 11:35:00,64.0
2007-05-02 11:20:00,41.0
2007-06-05 11:10:00,47.0
2007-07-11 12:10:00,31.0
2007-07-31 12:35:00,55.0
2007-09-21 12:05:00,27.0
2007-10-03 12:00:00,28.0
2007-10-12 12:10:00,47.0
2007-11-28 12:20:00,42.0
2007-12-09 15:15:00,70.0
2008-02-06 11:15:00,60.0
2008-02-28 13:00:00,50.0
2008-03-17 12:00:00,82.0
2008-04-24 11:20:00,40.0
2008-06-04 11:20:00,45.0
2008-06-30 12:40:00,49.0
2008-07-28 12:25:00,46.0
2008-08-14 11:00:00,52.0
2008-09-09 10:55:00,42.0
2008-09-15 11:26:00,48.0
2008-09-24 11:50:00,43.0
2008-10-21 12:15:00,33.0
2008-11-04 11:20:00,47.0
2008-12-02 12:30:00,63.0
2008-12-17 10:55:00,54.0
2009-01-08 11:00:00,62.0
2009-02-18 11:50:00,73.0
2009-03-05 10:30:00,69.0
2009-03-19 11:30:00,65.0
2009-05-11 12:50:00,54.0
2009-06-03 11:20:00,51.0
2009-07-14 10:15:00,50.0
2009-08-18 11:05:00,50.0
2009-09-03 10:50:00,32.0
2009-10-14 10:40:00,44.0
2009-11-06 10:50:00,42.0
2009-12-10 11:40:00,56.0
2010-01-18 10:55:00,73.0
2010-02-10 12:35:00,65.0
2010-03-11 11:35:00,68.0
2010-04-16 11:05:00,76.0
2010-12-07 12:40:00,56.0
2011-01-14 13:15:00,71.0
2011-02-10 10:45:00,53.0
2011-03-14 12:10:00,52.0
2011-04-06 11:00:00,47.0
2011-05-16 11:15:00,48.0
2011-06-02 11:15:00,47.0
2011-07-12 11:50:00,22.0
2011-08-08 10:45:00,22.0
2011-09-02 12:10:00,29.0
2011-10-07 10:40:00,27.0
2011-12-02 11:15:00,32.0
2011-12-09 11:00:00,47.0
2012-01-05 11:45:00,66.0
2012-02-02 10:45:00,58.0
2012-02-28 11:00:00,62.0
2012-04-10 11:00:00,17.0
2012-05-09 14:41:00,50.4
2012-06-12 11:40:00,71.9
2012-07-04 09:08:00,50.8
2012-08-07 10:42:00,79.5
2012-09-06 16:30:00,75.1
2012-10-01 11:04:00,52.0
2012-11-09 14:50:00,69.5
2012-11-20 11:17:00,65.0
2013-02-15 13:45:00,82.0
2013-02-18 12:34:00,67.3
2013-03-14 14:16:00,64.0
2013-04-03 11:07:00,83.0
2013-04-11 11:08:00,60.0
2013-04-30 01:05:00,75.9
2013-06-10 18:51:00,49.6
2013-06-28 12:37:00,39.9
2013-08-02 10:21:00,16.5
