dates,result
2000-01-06 10:55:00,94.0
2000-03-08 15:20:00,94.0
2000-04-10 15:15:00,87.0
2000-05-15 15:35:00,63.0
2000-06-14 15:25:00,87.0
2000-07-18 15:00:00,71.0
2000-08-23 14:45:00,103.6
2000-10-04 14:45:00,89.0
2000-10-26 15:30:00,79.4
2000-11-14 14:00:00,88.0
2000-12-12 15:20:00,84.5
2001-01-16 15:20:00,92.0
2001-02-28 14:00:00,88.2
2001-03-07 14:40:00,73.1
2001-04-11 14:35:00,87.3
2001-05-14 14:30:00,78.0
2001-06-18 14:35:00,57.0
2001-07-17 13:30:00,82.4
2001-08-22 11:00:00,55.0
2001-09-12 11:30:00,48.5
2001-10-10 15:35:00,64.2
2001-10-29 15:20:00,78.2
2001-11-28 15:20:00,72.0
2002-01-18 15:00:00,65.2
2002-02-11 14:30:00,88.6
2002-03-28 15:00:00,73.0
2002-04-29 13:45:00,68.0
2002-05-21 14:45:00,62.0
2002-06-18 14:35:00,41.0
2002-08-21 15:50:00,45.0
2002-09-23 16:10:00,51.0
2002-10-16 14:35:00,57.0
2002-11-08 15:55:00,52.0
2002-11-13 13:55:00,78.0
2002-12-09 15:35:00,83.0
2003-01-22 15:15:00,93.0
2003-02-20 14:30:00,87.0
2003-03-31 15:40:00,79.0
2003-05-14 15:35:00,59.0
2003-05-22 15:15:00,75.0
2003-06-10 15:15:00,51.0
2003-07-07 14:50:00,88.0
2003-08-27 14:00:00,52.0
2003-09-24 12:30:00,50.0
2003-10-15 15:45:00,76.0
2003-11-04 15:05:00,54.0
2003-11-28 14:25:00,46.0
2004-01-12 15:10:00,76.0
2004-03-17 14:20:00,83.0
2004-04-02 13:05:00,75.0
2004-04-20 15:30:00,48.0
2004-05-10 14:30:00,98.0
2004-06-29 15:10:00,70.0
2004-07-14 13:00:00,61.0
2004-08-25 14:30:00,74.0
2004-10-01 14:20:00,61.0
2004-10-13 14:30:00,71.0
2004-12-14 14:00:00,71.0
2004-12-17 15:25:00,65.0
2005-01-21 15:30:00,78.0
2005-03-07 13:50:00,80.0
2005-03-18 14:05:00,109.0
2005-04-06 14:00:00,69.0
2005-05-09 14:50:00,53.0
2005-06-22 14:35:00,64.0
2005-07-13 14:50:00,61.0
2005-08-26 13:30:00,85.0
2005-09-27 13:20:00,64.0
2005-10-26 13:30:00,55.0
2005-12-07 12:20:00,71.0
2005-12-22 14:40:00,72.0
2006-02-10 14:05:00,70.0
2006-03-09 12:30:00,80.0
2006-03-24 14:20:00,52.0
2006-04-24 13:20:00,62.0
2006-05-16 14:25:00,56.0
2006-06-30 13:55:00,115.0
2006-08-21 14:50:00,55.0
2006-09-01 15:00:00,103.0
2006-09-13 13:50:00,24.0
2006-10-09 11:25:00,65.0
2006-11-15 13:50:00,52.0
2006-11-27 14:10:00,96.0
2007-01-16 00:01:00,82.0
2007-02-07 13:50:00,79.0
2007-04-04 14:05:00,72.0
2007-05-02 13:30:00,57.0
2007-06-05 12:50:00,84.0
2007-07-11 15:00:00,52.0
2007-07-31 15:00:00,70.0
2007-09-21 14:30:00,78.0
2007-10-03 13:45:00,72.0
2007-10-12 14:15:00,82.0
2007-11-28 14:30:00,72.0
2007-12-09 16:50:00,83.0
2008-02-06 14:40:00,85.0
2008-02-28 15:00:00,71.0
2008-03-17 13:50:00,88.0
2008-04-24 14:20:00,72.0
2008-06-04 13:15:00,69.0
2008-08-14 13:20:00,78.0
2008-09-09 13:20:00,70.0
2008-09-24 13:50:00,78.0
2008-10-21 15:00:00,72.0
2008-11-04 13:55:00,80.0
2008-12-02 15:15:00,80.0
2008-12-17 13:15:00,86.0
2009-01-08 13:35:00,83.0
2009-02-18 14:35:00,93.0
2009-03-05 13:20:00,90.0
2009-03-19 14:30:00,118.0
2009-05-11 15:05:00,65.0
2009-06-03 14:00:00,69.0
2009-07-14 11:40:00,81.0
2009-08-18 13:25:00,64.0
2009-09-03 13:10:00,80.0
2009-10-14 14:00:00,71.0
2009-11-06 13:20:00,80.0
2009-12-10 14:00:00,87.0
2010-01-18 13:10:00,98.0
2010-02-10 15:15:00,86.0
2010-03-11 14:00:00,95.0
2010-04-16 14:00:00,96.0
