dates,result
2000-01-06 13:05:00,3.05
2000-03-08 13:30:00,3.2
2000-04-10 14:10:00,4.12
2000-05-15 13:40:00,3.22
2000-06-14 12:55:00,3.35
2000-07-18 13:45:00,5.19
2000-08-23 12:30:00,3.47
2000-10-04 13:05:00,3.26
2000-10-26 13:45:00,2.93
2000-11-14 12:25:00,1.69
2000-12-12 13:35:00,1.41
2001-01-16 13:20:00,2.91
2001-02-28 12:35:00,0.002
2001-03-07 12:30:00,1.88
2001-04-11 12:40:00,1.59
2001-05-14 13:05:00,1.35
2001-06-18 13:00:00,3.05
2001-07-17 12:00:00,4.84
2001-08-22 11:40:00,2.89
2001-09-12 12:05:00,5.08
2001-10-10 13:35:00,2.62
2001-10-29 14:00:00,2.6
2001-11-28 13:55:00,3.63
2002-01-18 12:55:00,2.6
2002-02-11 12:35:00,2.33
2002-03-28 13:00:00,1.83
2002-04-29 12:35:00,2.06
2002-05-21 13:35:00,1.85
2002-06-18 13:00:00,2.5
2002-07-17 14:15:00,2.39
2002-08-21 14:15:00,2.74
2002-09-23 14:45:00,3.11
2002-10-16 13:15:00,1.15
2002-11-08 14:10:00,1.39
2002-12-09 14:20:00,1.8
2003-01-22 13:30:00,0.483
2003-02-20 13:15:00,1.26
2003-03-31 13:50:00,1.79
2003-04-16 13:45:00,2.25
2003-05-14 13:55:00,1.67
2003-06-10 14:00:00,2.7
2003-07-07 12:50:00,2.92
2003-08-27 12:15:00,2.04
2003-09-11 16:55:00,3.39
2003-10-15 14:00:00,4.39
2003-11-04 13:35:00,2.26
2003-11-28 12:45:00,2.31
2004-01-12 13:35:00,0.911
2004-02-26 13:05:00,3.03
2004-04-02 11:50:00,2.04
2004-04-20 14:20:00,2.06
2004-05-10 12:20:00,1.72
2004-06-29 13:50:00,2.68
2004-07-14 15:30:00,3.33
2004-08-25 13:20:00,1.87
2004-10-01 12:45:00,3.14
2004-10-13 12:35:00,3.63
2004-11-08 11:45:00,3.39
2004-12-17 13:50:00,1.54
2005-01-21 13:30:00,3.41
2005-03-07 12:05:00,2.59
2005-03-18 12:15:00,2.86
2005-04-06 11:55:00,3.32
2005-05-09 12:40:00,3.76
2005-06-22 11:55:00,3.46
2005-07-13 12:10:00,3.27
2005-08-26 10:50:00,1.95
2005-09-19 11:50:00,2.97
2005-10-26 10:30:00,1.99
2005-12-07 14:55:00,3.07
2005-12-22 11:40:00,3.35
2006-01-16 11:30:00,2.82
2006-02-10 11:25:00,2.5
2006-02-15 08:25:00,1.28
2006-02-15 09:45:00,0.977
2006-02-15 06:15:00,2.14
2006-02-15 07:15:00,1.99
2006-03-24 11:25:00,2.54
2006-04-24 10:50:00,2.63
2006-05-16 11:40:00,2.91
2006-05-21 18:20:00,1.91
2006-06-30 10:55:00,2.9
2006-07-13 07:10:00,3.81
2006-07-13 08:40:00,3.82
2006-07-13 10:00:00,3.83
2006-07-13 12:20:00,3.9
2006-07-13 14:00:00,3.96
2006-07-13 15:30:00,4.11
2006-07-13 16:41:00,4.22
2006-07-13 17:55:00,4.32
2006-07-13 19:07:00,4.36
2006-08-14 13:30:00,2.99
2006-08-21 12:30:00,2.7
2006-09-01 12:20:00,3.4
2006-09-13 11:15:00,1.04
2006-10-09 13:35:00,3.04
2006-11-15 11:45:00,2.55
2006-11-27 11:50:00,0.833
2007-01-16 12:05:00,2.57
2007-02-07 11:50:00,3.23
2007-04-04 11:35:00,2.61
2007-05-02 11:20:00,3.3
2007-06-05 11:10:00,2.87
2007-07-11 12:10:00,2.76
2007-07-31 12:35:00,2.19
2007-09-21 12:05:00,4.12
