dates,result
2000-01-06 10:55:00,10.8
2000-03-08 15:20:00,11.0
2000-04-10 15:15:00,9.4
2000-05-15 15:35:00,5.8
2000-06-14 15:25:00,8.0
2000-07-18 15:00:00,6.7
2000-08-23 14:45:00,9.15
2000-10-04 14:45:00,8.83
2000-10-26 15:30:00,8.78
2000-11-14 14:00:00,10.2
2000-12-12 15:20:00,9.17
2001-01-16 15:20:00,11.8
2001-02-28 14:00:00,10.8
2001-03-07 14:40:00,8.51
2001-04-11 14:35:00,9.56
2001-05-14 14:30:00,7.61
2001-06-18 14:35:00,5.57
2001-07-17 13:30:00,7.71
2001-08-22 11:00:00,4.9
2001-09-12 11:30:00,4.68
2001-10-10 15:35:00,6.44
2001-10-29 15:20:00,8.05
2001-11-28 15:20:00,8.24
2002-01-18 15:00:00,7.84
2002-02-11 14:30:00,10.2
2002-03-28 15:00:00,7.86
2002-04-29 13:45:00,7.26
2002-05-21 14:45:00,5.9
2002-06-18 14:35:00,3.67
2002-08-21 15:50:00,3.87
2002-09-23 16:10:00,4.62
2002-10-16 14:35:00,6.04
2002-11-08 15:55:00,5.62
2002-11-13 13:55:00,8.46
2002-12-09 15:35:00,9.96
2003-01-22 15:15:00,11.2
2003-02-20 14:30:00,11.0
2003-03-31 15:40:00,8.49
2003-05-14 15:35:00,6.0
2003-05-22 15:15:00,7.31
2003-06-10 15:15:00,4.7
2003-07-07 14:50:00,7.69
2003-08-27 14:00:00,4.61
2003-09-24 12:30:00,4.69
2003-10-15 15:45:00,7.78
2003-11-04 15:05:00,5.69
2003-11-28 14:25:00,5.21
2004-01-12 15:10:00,8.69
2004-03-17 14:20:00,8.95
2004-04-02 13:05:00,8.25
2004-04-20 15:30:00,5.16
2004-05-10 14:30:00,9.71
2004-06-29 15:10:00,6.49
2004-07-14 13:00:00,5.72
2004-08-25 14:30:00,6.77
2004-10-01 14:20:00,5.98
2004-10-13 14:30:00,7.24
2004-12-14 14:00:00,8.18
2004-12-17 15:25:00,7.32
2005-01-21 15:30:00,9.08
2005-03-07 13:50:00,9.9
2005-03-18 14:05:00,11.1
2005-04-06 14:00:00,7.47
2005-05-09 14:50:00,5.31
2005-06-22 14:35:00,5.49
2005-07-13 14:50:00,5.11
2005-08-26 13:30:00,8.01
2005-09-27 13:20:00,6.04
2005-10-26 13:30:00,5.34
2005-12-07 12:20:00,8.34
2005-12-22 14:40:00,8.16
2006-02-10 14:05:00,8.68
2006-03-09 12:30:00,9.29
2006-03-24 14:20:00,5.62
2006-04-24 13:20:00,6.5
2006-05-16 14:25:00,5.37
2006-06-30 13:55:00,9.83
2006-08-21 14:50:00,5.03
2006-09-01 15:00:00,9.12
2006-09-13 13:50:00,2.13
2006-10-09 11:25:00,6.25
2006-11-15 13:50:00,5.38
2006-11-27 14:10:00,10.4
2007-01-16 00:01:00,9.35
2007-02-07 13:50:00,9.48
2007-04-04 14:05:00,8.03
2007-05-02 13:30:00,5.51
2007-06-05 12:50:00,7.69
2007-07-11 15:00:00,4.89
2007-07-31 15:00:00,6.48
2007-09-21 14:30:00,7.33
2007-10-03 13:45:00,6.92
2007-10-12 14:15:00,8.34
2007-11-28 14:30:00,8.41
2007-12-09 16:50:00,9.62
2008-02-06 14:40:00,10.2
2008-02-28 15:00:00,8.0
2008-03-17 13:50:00,10.2
2008-04-24 14:20:00,6.52
2008-06-04 13:15:00,6.6
2008-08-14 13:20:00,7.13
2008-09-09 13:20:00,6.72
2008-09-24 13:50:00,7.66
2008-10-21 15:00:00,7.42
2008-11-04 13:55:00,8.67
2008-12-02 15:15:00,9.75
2008-12-17 13:15:00,10.2
2009-01-08 13:35:00,10.4
2009-02-18 14:35:00,10.9
2009-03-05 13:20:00,10.6
2009-03-19 14:30:00,12.6
2009-05-11 15:05:00,6.45
2009-06-03 14:00:00,6.4
2009-07-14 11:40:00,7.37
2009-08-18 13:25:00,5.64
2009-09-03 13:10:00,7.5
2009-10-14 14:00:00,7.14
2009-11-06 13:20:00,8.48
2009-12-10 14:00:00,9.84
2010-01-18 13:10:00,12.4
2010-02-10 15:15:00,10.9
2010-03-11 14:00:00,11.7
2010-04-16 14:00:00,10.4
