dates,result
2003-01-22 14:30:00,0.551
2003-02-20 14:00:00,1.15
2003-03-31 14:50:00,1.92
2003-05-14 14:45:00,1.52
2003-05-22 14:15:00,1.76
2003-06-10 14:35:00,2.53
2003-07-07 13:55:00,2.82
2003-08-27 13:05:00,2.19
2003-09-24 11:30:00,2.04
2003-10-15 15:00:00,4.09
2003-11-04 14:30:00,2.3
2003-11-28 13:45:00,2.23
2004-01-12 14:35:00,1.34
2004-02-26 14:00:00,4.24
2004-04-02 12:25:00,2.27
2004-04-20 14:45:00,2.29
2004-05-10 13:25:00,1.48
2004-06-29 14:30:00,2.92
2004-07-14 14:45:00,3.15
2004-08-25 13:50:00,1.82
2004-10-01 13:40:00,3.22
2004-10-13 13:40:00,4.86
2004-11-08 12:35:00,3.38
2004-12-17 14:30:00,3.05
2005-01-21 14:25:00,3.24
2005-03-07 13:00:00,2.77
2005-03-18 13:20:00,2.98
2005-04-06 12:20:00,3.32
2005-05-09 13:20:00,3.92
2005-06-22 13:55:00,3.09
2005-07-13 13:30:00,3.78
2005-08-26 12:05:00,1.69
2005-09-19 13:20:00,3.3
2005-10-26 12:05:00,1.78
2005-12-07 13:50:00,2.78
2005-12-22 13:20:00,3.66
2006-01-16 13:10:00,2.77
2006-02-10 12:55:00,2.48
2006-03-24 13:00:00,2.8
2006-04-24 12:20:00,2.68
2006-05-16 13:25:00,3.07
2006-06-30 12:45:00,2.5
2006-08-21 13:50:00,2.46
2006-09-01 14:15:00,3.16
2006-09-13 12:40:00,1.22
2006-10-09 10:50:00,2.15
2006-11-15 12:50:00,2.49
2006-11-27 12:25:00,0.668
2007-01-16 12:45:00,2.11
2007-02-07 12:30:00,3.1
2007-04-04 00:00:00,2.01
2007-05-02 12:05:00,3.35
2007-06-05 11:50:00,2.3
2007-07-11 13:30:00,2.49
2007-07-31 13:30:00,2.0
2007-09-21 12:45:00,4.33
2007-10-03 12:40:00,2.86
2007-10-12 12:50:00,2.99
2007-11-28 13:00:00,3.01
2007-12-09 15:50:00,1.05
2008-02-06 12:15:00,1.27
2008-02-28 13:50:00,2.62
2008-03-17 12:30:00,0.574
2008-05-08 12:20:00,2.24
2008-06-04 12:00:00,1.23
2008-08-14 11:45:00,1.48
2008-09-09 11:50:00,1.83
2008-09-24 12:40:00,3.48
2008-10-21 13:10:00,3.09
2008-11-04 12:10:00,1.83
2008-12-02 13:30:00,1.33
2008-12-17 11:45:00,1.49
2009-01-08 11:45:00,3.21
2009-02-18 12:15:00,0.871
2009-03-05 10:50:00,0.839
2009-03-19 12:10:00,1.88
2009-05-11 13:30:00,3.22
2009-06-03 12:05:00,3.14
2009-07-14 10:50:00,2.79
2009-08-18 11:55:00,3.1
2009-09-03 11:45:00,1.84
2009-10-14 11:20:00,3.49
