dates,result
2000-01-06 11:47:00,14.0
2000-02-02 13:15:00,123.0
2000-03-08 14:30:00,13.0
2000-04-10 14:40:00,5.0
2000-05-15 14:40:00,9.0
2000-06-14 14:30:00,7.5
2000-07-18 14:15:00,3.0
2000-08-23 13:20:00,8.8
2000-10-04 13:40:00,9.6
2000-10-26 14:45:00,103.0
2000-11-14 13:05:00,27.6
2000-12-12 14:15:00,40.0
2001-01-16 14:20:00,8.4
2001-02-28 13:05:00,6.4
2001-03-07 12:55:00,73.8
2001-04-11 13:30:00,16.4
2001-05-14 13:50:00,14.3
2001-06-18 13:40:00,6.9
2001-07-17 12:50:00,3.9
2001-08-22 10:15:00,7.2
2001-09-12 10:35:00,4.5
2001-10-10 15:00:00,12.8
2001-10-29 14:45:00,19.1
2001-11-28 14:35:00,9.5
2002-01-18 13:35:00,11.8
2002-02-11 13:15:00,11.8
2002-03-28 14:00:00,39.0
2002-04-29 13:15:00,13.0
2002-05-21 14:15:00,17.2
2002-06-18 14:00:00,8.6
2002-07-17 14:50:00,6.3
2002-08-21 15:10:00,10.8
2002-09-23 15:25:00,55.2
2002-10-16 13:50:00,18.9
2002-11-08 15:15:00,11.0
2002-12-09 15:05:00,9.1
2003-01-22 14:30:00,84.3
2003-02-20 14:00:00,10.3
2003-03-31 14:50:00,23.7
2003-05-14 14:45:00,56.2
2003-05-22 14:15:00,10.4
2003-06-10 14:35:00,5.8
2003-07-07 13:55:00,14.0
2003-08-27 13:05:00,13.9
2003-09-24 11:30:00,4.0
2003-10-15 15:00:00,4.9
2003-11-04 14:30:00,7.9
2003-11-28 13:45:00,6.7
2004-01-12 14:35:00,40.0
2004-02-26 14:00:00,7.7
2004-04-02 12:25:00,9.2
2004-04-20 14:45:00,33.5
2004-05-10 13:25:00,16.9
2004-06-29 14:30:00,9.9
2004-07-14 14:45:00,9.6
2004-08-25 13:50:00,9.9
2004-10-01 13:40:00,8.5
2004-10-13 13:40:00,101.0
2004-11-08 12:35:00,7.9
2004-12-17 14:30:00,101.0
2005-01-21 14:25:00,9.7
2005-03-07 13:00:00,13.7
2005-03-18 13:20:00,11.4
2005-04-06 12:20:00,25.8
2005-05-09 13:20:00,5.3
2005-06-22 13:55:00,7.7
2005-07-13 13:30:00,4.0
2005-08-26 12:05:00,8.2
2005-09-19 13:20:00,6.8
2005-10-26 12:05:00,9.3
2005-12-07 13:50:00,9.2
2005-12-22 13:20:00,7.5
2006-01-16 13:10:00,9.5
2006-02-10 12:55:00,26.2
2006-02-14 09:15:00,8.6
2006-03-24 13:00:00,15.7
2006-04-24 12:20:00,13.9
2006-05-16 13:25:00,13.9
2006-06-30 12:45:00,3.9
2006-08-21 13:50:00,26.9
2006-09-01 14:15:00,5.9
2006-09-13 12:40:00,33.8
2006-10-09 10:50:00,10.2
2006-11-15 12:50:00,9.8
2006-11-27 12:25:00,83.8
2007-01-16 12:45:00,36.5
2007-02-07 12:30:00,12.5
2007-04-04 00:00:00,8.5
2007-05-02 12:05:00,5.2
2007-06-05 11:50:00,5.0
2007-07-11 13:30:00,10.2
2007-07-31 13:30:00,5.5
2007-09-21 12:45:00,3.7
2007-10-03 12:40:00,5.5
2007-10-12 12:50:00,3.0
2007-11-28 13:00:00,6.0
2007-12-09 15:50:00,28.5
2008-02-06 12:15:00,12.2
2008-02-28 13:50:00,6.6
2008-03-17 12:30:00,52.8
2008-05-08 12:20:00,8.3
2008-06-04 12:00:00,13.3
2008-08-14 11:45:00,5.6
2008-09-09 11:50:00,5.0
2008-09-24 12:40:00,8.5
2008-10-21 13:10:00,42.5
2008-11-04 12:10:00,6.3
2008-12-02 13:30:00,13.9
2008-12-17 11:45:00,13.6
2009-01-08 11:45:00,6.7
2009-02-18 12:15:00,14.0
2009-03-05 10:50:00,32.9
2009-03-19 12:10:00,25.8
2009-05-11 13:30:00,7.6
2009-06-03 12:05:00,6.2
2009-07-14 10:50:00,6.2
2009-08-18 11:55:00,3.9
2009-09-03 11:45:00,11.3
2009-10-14 11:20:00,3.4
2009-11-06 11:30:00,4.7
2009-12-10 12:15:00,10.8
2010-01-18 11:40:00,20.9
2010-02-10 13:15:00,8.5
2010-03-11 12:15:00,7.13
2010-04-16 11:55:00,9.92
2010-06-08 12:35:00,3.88
2010-07-02 13:50:00,3.0
2010-08-13 12:55:00,7.27
2010-09-03 13:00:00,8.65
2010-09-30 12:40:00,12.5
2010-10-15 12:10:00,6.53
2010-11-16 12:40:00,3.0
2010-12-07 13:15:00,6.03
2011-01-14 13:50:00,48.8
2011-02-10 11:35:00,9.2
2011-03-14 13:00:00,6.3
2011-04-06 11:50:00,6.2
2011-05-16 12:22:00,3.0
2011-06-02 12:05:00,4.85
2011-07-12 12:35:00,3.0
2011-08-08 11:20:00,3.63
2011-09-02 13:05:00,4.65
2011-10-07 11:10:00,4.67
2011-12-02 12:15:00,4.75
2011-12-09 11:40:00,4.43
2012-01-05 12:45:00,23.2
2012-02-02 11:20:00,5.48
2012-02-28 11:40:00,9.35
2012-04-10 11:40:00,8.0
2012-05-18 14:06:00,9.93
2012-06-12 11:38:00,51.9
2012-07-17 15:01:00,5.4
2012-08-31 12:16:00,3.0
2012-09-10 13:04:00,3.23
2012-10-24 16:28:00,5.25
2012-11-15 09:58:00,3.72
2012-11-22 17:09:00,25.2
2013-01-16 12:02:00,23.6
2013-02-28 14:43:00,7.55
2013-03-13 12:41:00,6.65
2013-04-22 11:35:00,10.5
2013-05-02 11:26:00,9.55
2013-06-17 13:54:00,5.93
2013-07-16 11:00:00,5.3
2013-08-02 11:17:00,3.0
2013-09-06 14:25:00,4.9
2013-10-04 12:17:00,3.0
2013-10-07 12:02:00,3.0
2013-11-04 11:53:00,79.7
2013-11-27 15:05:00,8.4
2014-01-16 11:25:00,34.8
2014-02-10 11:06:00,44.9
2014-03-12 11:45:00,5.38
2014-04-23 13:46:00,4.53
2014-05-13 13:20:00,3.05
2014-06-30 09:51:00,5.5
2014-07-29 14:26:00,3.0
2014-08-12 11:08:00,3.35
2014-09-08 15:04:00,3.0
2014-10-14 12:03:00,99.6
2014-11-10 11:46:00,9.58
2014-12-09 11:08:00,5.15
2015-01-26 11:07:00,7.87
2015-02-18 14:09:00,12.6
2015-03-19 12:55:00,6.52
2015-04-21 12:24:00,4.1
2015-05-12 13:57:00,3.0
2015-06-30 13:31:00,3.0
2015-08-03 12:00:00,6.28
2015-09-01 12:58:00,18.8
2015-09-25 11:45:00,4.02
2015-10-29 14:01:00,6.63
2016-04-06 12:52:00,8.6
2016-07-18 12:00:00,4.53
2016-10-19 14:40:00,3.53
2016-12-01 11:51:00,5.3
2017-01-24 13:11:00,8.13
2017-04-27 11:27:00,6.37
2017-07-26 10:47:00,3.0
2017-10-20 10:36:00,3.17
2018-02-01 10:59:00,6.15
2018-04-27 11:30:00,4.85
2018-07-26 11:27:00,4.57
2018-10-05 11:05:00,4.12
2019-01-10 12:27:00,4.82
2019-04-29 11:56:00,5.38
